y_true,y_pred,prob_0,prob_1,prob_2
setosa,setosa,0.9999993770151294,6.2297719167586e-07,7.678901245554522e-12
setosa,setosa,0.9999997933540716,2.0664388066488814e-07,2.047687515794814e-12
setosa,setosa,0.9999999449464916,5.5053122690917684e-08,3.856920276486276e-13
setosa,setosa,0.9999999714802543,2.8519657382236554e-08,8.839941166408974e-14
setosa,setosa,0.9999998452936483,1.5470491518115956e-07,1.4365226777728081e-12
setosa,setosa,0.9999971060020505,2.8939518919735422e-06,4.6057509276757027e-11
setosa,setosa,0.9999998129739007,1.870242861905754e-07,1.8130551549247779e-12
setosa,setosa,0.9999998499892113,1.5000940568518673e-07,1.382960717194848e-12
setosa,setosa,0.9999453168973572,5.468179601223516e-05,1.3066306281226222e-09
setosa,setosa,0.9999997377750014,2.62222265239844e-07,2.7334039261853016e-12
versicolor,versicolor,1.668758138117615e-22,0.999023683113397,0.000976316886603019
versicolor,versicolor,6.832256490677086e-50,0.872992210812399,0.1245800699268167
versicolor,versicolor,1.9942309545295144e-42,0.9890314202200118,0.01096857977998828
versicolor,versicolor,9.355257075341728e-66,0.9009217082349712,0.0944469318157657
versicolor,versicolor,1.7982680513550653e-30,0.9972989567421982,0.0027010432578019427
versicolor,versicolor,9.898176316038789e-64,0.9172622665075565,0.07845826499469935
versicolor,versicolor,1.1916123864232711e-54,0.9221268987696103,0.07456160714315452
versicolor,versicolor,1.3744971958134221e-41,0.9900148325069209,0.009985167493079053
versicolor,versicolor,2.5137372783075686e-64,0.9127469142982244,0.08287920190698558
versicolor,versicolor,3.136555791920341e-36,0.9946047302229994,0.005395269777000596
virginica,virginica,2.8383846613432468e-92,0.2628547945514746,0.7371452054485254
virginica,virginica,2.0593273340583826e-98,0.05000676916890942,0.9436646550072441
virginica,virginica,5.500118451822293e-115,0.015333321443295687,0.9829022587113327
virginica,versicolor,2.5388916485168202e-79,0.5419244647878128,0.4580755352121872
virginica,virginica,4.557303495175414e-89,0.3352497576374526,0.6647502423625474
virginica,virginica,6.5141754213764e-103,0.03481725193156623,0.9591736368482076
virginica,virginica,5.8633130884835444e-105,0.029615558780288875,0.9639497634378611
virginica,virginica,1.6066190874056996e-185,4.763320900002887e-05,0.999952366791
virginica,virginica,3.101055680034856e-204,1.0685200856665927e-05,0.9999893147991432
virginica,versicolor,1.5200608929892623e-77,0.5634844903539269,0.4365155096460731
